time,population,Conc
60,I4,6905.980447000722
61,I4,6887.899942471906
62,I4,6870.363070907562
63,I4,6853.353508180044
64,I4,6836.85543796382
65,I4,6820.8534390541945
66,I4,6805.3326267698485
67,I4,6790.278510973865
68,I4,6775.6770389322355
69,I4,6761.5145913460565
70,I4,6747.777965091683
71,I4,6734.4543704933785
72,I4,6721.531344788376
73,I4,6708.996826210237
74,I4,6696.839122893635
75,I4,6685.046959437268
76,I4,6673.609369378818
77,I4,6662.515683873191
78,I4,6651.755549104763
79,I4,6641.318930406791
80,I4,6631.196101095496
81,I4,6621.377627897045
82,I4,6611.85435974306
83,I4,6602.617419687016
84,I4,6593.658197624328
85,I4,6584.968342648513
86,I4,6576.539746168401
87,I4,6568.364579250683
88,I4,6560.43520656325
89,I4,6552.744259373251
90,I4,6545.28455808021
91,I4,6538.049138564083
92,I4,6531.031251880191
93,I4,6524.224355819785
94,I4,6517.622105895092
95,I4,6511.218349528371
96,I4,6505.007118460284
97,I4,6498.982623692825
98,I4,6493.1392502766985
99,I4,6487.471552127242
100,I4,6481.974246943331
101,I4,6476.642211267798
102,I4,6471.470475407073
103,I4,6466.454219839198
104,I4,6461.58876953363
105,I4,6456.86958997075
106,I4,6452.292282736487
107,I4,6447.852582090562
108,I4,6443.546350575006
109,I4,6439.369575087138
110,I4,6435.318363157226
111,I4,6431.388939346169
112,I4,6427.577645793
113,I4,6423.880918083604
114,I4,6420.295306548016
115,I4,6416.817467389897
116,I4,6413.444175941411
117,I4,6410.172295888485
118,I4,6406.99877602518
119,I4,6403.920655236312
120,I4,6400.935063679379
121,I4,6398.039219592284
122,I4,6395.230425124961
123,I4,6392.506063134329
124,I4,6389.863594872357
125,I4,6387.300557904201
126,I4,6384.8145639180375
127,I4,6382.403296475144
128,I4,6380.064508795293
129,I4,6377.796021641585
130,I4,6375.595721295513
131,I4,6373.461557596773
132,I4,6371.3915420355315
133,I4,6369.383745897293
134,I4,6367.436298463033
135,I4,6365.547385264697
136,I4,6363.715246393972
137,I4,6361.938174873334
138,I4,6360.214515011553
139,I4,6358.542661118835
140,I4,6356.921055658965
141,I4,6355.34818771537
142,I4,6353.822591790043
143,I4,6352.342846621567
144,I4,6350.907573777615
145,I4,6349.515436226424
146,I4,6348.165137070475
147,I4,6346.855418402262
148,I4,6345.58506016962
149,I4,6344.3528790220125
150,I4,6343.157727181601
151,I4,6341.998491370911
152,I4,6340.87409178716
153,I4,6339.78348110193
154,I4,6338.725643481338
155,I4,6337.699593634404
156,I4,6336.704375894401
157,I4,6335.739063330268
158,I4,6334.80275688357
159,I4,6333.89458452966
160,I4,6333.013700463972
161,I4,6332.159284313574
162,I4,6331.330540372856
163,I4,6330.526696861954
164,I4,6329.747005207158
